Codigo Convocatoria,Nombre del Oferente,Area del Conocimiento,Nombre del programa,Nombre del País,Fecha de Recepción -mm/dd/aaaa,Perfil del Aplicante,Objetivo del Programa
2234716.0,GOBIERNO DE ISRAEL,CIENCIAS NATURALES Y ECOLOGIA,CAMBIO CLIMÁTICO Y AGRICULTURA,Israel (Estado de Israel),,El programa está dirigido a profesionales universitarios en ingeniería ambiental- ingeniería agrónoma- o que se desempeñen en campos relacionados con los temas a tratar- como también- al personal de Servicios Meteorológicos e Hidrológicos Nacionales comprometido e interesado en la aplicación de metodologías en agrometeorológia y técnicas avanzadas para la adaptación y la mitigación en los posibles impactos del cambio climático. REQUISITOS: El candidato debe tener entre 24 y 60 años- tener un promedio mínimo de notas universitarias de 3-7/5-0  contar con mínimo 5 años de experiencia profesional en campos relacionados con los temas de la convocatoria- y tener con buena salud física y mental. El candidato debe tener buenos conocimientos de idioma inglés  puntaje requerido: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2.,Los objetivos de este programa son:  1. Discutir los impactos del cambio climático en diferentes campos de la agricultura y producción agrícola.  2. Demostrar las modernas técnicas agrometeorológicas y métodos para adaptación y mitigación del cambio climático en la agricultura.
2218514.0,OEA,ADMINISTRACIÓN - ECONOMÍA,CIUDADES SOSTENIBLES,Trinidad y Tobago (República de Trinidad y Tobago),09/30/2014 12:00:00 AM,El programa está dirigido a profesionales universitarios en economia- ingenierias- arquitecturas- ciencias del medio ambiente- administración publica- planeación urbana- y que se desempeñen en procesos de planeacion y desarrollo urbano. REQUISITOS: Los candidatos deben tener un promedio de notas universitarias de 3-7/5-0- dos años de experiencia en el area de estudio del programa conocimientos básicos de procesador de texto (Word) y manejo de internet-  buenos conocimientos de idioma inglés: con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5. Gozar de buena salud fisica y mental.,OBJETIVOS GENERALES: proveer conocimientos técnicos y prácticos sobre los diferentes elementos que contribuyen al desarrollo de ciudades sostenibles- a funcionarios públicos y miembros de la sociedad civil que tengan una relación con el proceso de planeación y desarrollo urbano. OBJETIVO ESPECIFICOS: > Proveer conocimiento de alta calidad en los sistemas de las ciudades sostenibles combinando geo diseño- economía social y disciplinas geofísicas.>Analizar estudios de caso e identificar sus mejores prácticas. >Proveer experiencias de primera mano que tengan relación con los beneficios de una infraestructura verde a través de visitas de estudio a iniciativas verdes y si es posible edificios certificados en LEED (Leadership in Energy & Environmental Design
1207915.0,GOBIERNO DE JAPON,DIFERENTES AREAS,ESTUDIOS SOBRE JAPÓN (PROGRAMA MONBUKAGAKUSHO),Japón (Japón),02/13/2015 12:00:00 AM,El programa está dirigido a estudiantes de pregrado que deseen realizar estudios en temas relacionados con el idioma japonés y la cultura japonesa.  REQUISITOS: El aspirante debe contar con promedio universitario mínimo de 3-7/5-0  tener buenos conocimientos de idioma inglés  puntaje requerido: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- tener buenos conocimientos de idioma japonés.  El candidato debe haber nacido entre el 2 de abril de 1985 y abril 1 de 1997. (Debe tener 18 años cumplidos al momento de aplicar a la convocatoria y ser menor de 30 años).  El candidato debe gozar de excelente salud física y mental y tener disposición para aprender el idioma japonés.  NOTA: Se realizará un examen de selección de idioma japonés el viernes 27 de febrero a las 9am.,Ofrecer a estudiantes colombianos de pregrado la oportunidad de realizar estudios en áreas relacionadas con el idioma japonés o la cultura japonesa- dentro de programas de alta calidad.NOTA: Aquellos interesados en realizar estudios diferentes al idioma japonés y cultura japonesa(como la ingeniería- la economía- la ciencia agrícola- la arquitectura y el arte) y deseen cursar estudios complementarios de lengua y cultura japonesa debe solicitar otras becas.
2213713.0,GOBIERNO DE LA INDIA,ADMINISTRACIÓN - ECONOMÍA,PLANNING AND MANAGEMENT OF RURAL DEVELOPMENT PROGRAMMES,India (República de India),07/15/2013 12:00:00 AM,"El Programa ""Planificación y gestión de programas de desarrollo rural"" está dirigido a profesionales universitarios en carreras afines al contenido del curso- que se desempeñen como funcionarios de ministerios o departamentos de desarrollo rural- medio ambiente- desarrollo de la mujer y de los niños- reducción de la pobreza- planeación- agricultura- de gobierno local- etc  encargados directamente de los programas relacionados con el tema del curso.  REQUISITOS: El aspirante debe ser menor de 45 años  contar mínimo con dos años de experiencia laboral en áreas directamente relacionadas con el tema del curso. Tener un promedio de notas universitarios mínimo de 3-7/5-0. El candidato deberá tener buenos conocimientos de idioma inglés puntaje requerido: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. Deben tener habilidades en computación y no haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente. Deben gozar de buena salud física y mental. Los candidatos Preseleccionados serán llamados a entrevista la Embajada de la India- si la Embajada lo considera pertinente.",Brindar a los participantes conocimientos y actualización en el campo del curso ofrecido.
2121915.0,OEA - FONDO VERDE PERÚ,CIENCIAS NATURALES Y ECOLOGIA,DIPLOMA EN CAMBIO CLIMÁTICO Y LA ERA POST KIOTO: MITIGACIÓN ADAPTACIÓN TECNOLOGÍAS Y FINANCIACIÓN,Perú (República del Perú),06/22/2015 12:00:00 AM,El programa está dirigido a profesionales universitarios en ciencia e ingeniería- responsables de las áreas de medio ambiente de empresas- promotores de proyectos- técnicos cuya actividad laboral se dedique a la asesoría en el sector privado- en gobiernos locales y regionales. También- está dirigido a profesionales que se desempeñen en entidades públicas o privadas en cuestiones relativas al diseño- administración y operación de proyectos ambientales y MDL.  REQUISITOS: El candidato debe ser mayor de 23 años y menor de 50 años- tener un promedio mínimo de notas universitarias de 3-7/5-0  contar con mínimo 1 año de experiencia profesional en el área del programa a realizar y gozar de buena salud física y mental.,Los objetivos del curso son:1. Conocer los elementos básicos del sistema climático y de los cambios importantes en dicho sistema.2. Comprender la base científica de las evidencias del cambio climático.3. Comprender el enfoque de resiliencia urbana y comunitaria para la gestión de riesgo.4. Identificar los problemas y amenazas que enfrentamos frente al cambio climático- así como las estrategias y enfoque para su intervención.5. Conocer la relación entre la gestión integral del riesgo de desastres- el modelo de desarrollo vigente y las posibles medidas de adaptación frente al Cambio Climático.6. Facilitar herramientas que permitan analizar  la vulnerabilidad y las capacidades.7. Entender la vulnerabilidad- en el proceso de construcción del riesgo- e integrar en ese análisis la asociación con el cambio climático- como la amenaza asociada a los fenómenos naturales y a las amenazas antrópicas.8. Realizar perfiles de proyecto para reducir la vulnerabilidad- proponer medidas de adaptación y estrategias de mitigación- o intervenciones para la reducción del riesgo.
2104713.0,GOBIERNO DE ISRAEL,CIENCIAS AGROPECUARIAS,PRODUCCIÓN INTENSIVA Y COMERCIALIZACIÓN DE HORTALIZAS,Israel (Estado de Israel),11/13/2012 12:00:00 AM,El seminario está dirigido a profesionales universitarios principalmente en agronomía- ciencias agrícolas ó en áreas relacionadas directamente con el programa de estudio- que se desempeñen como directivos y/o técnicos en instituciones y organizaciones del sector público o privado- involucrados en el desarrollo del sector hortícola del país- a nivel nacional y/o regional.   REQUISITOS: El aspirante debe ser menor de 50 años- tener un promedio de notas de 3-7/5-0- tener experiencia mínima de dos años (después de haber obtenido el título universitario) en el área de estudios y gozar de buena salud física y mental.,El presente programa de capacitación tiene como objetivo compartir con los participantes los enfoques y criterios que guían al sector hortícola en Israel- como así también crear un marco de debate y análisis sobre su adaptación e implementación en los distintos países participantes.
6150312.0,GOBIERNO DE MÉXICO (SRE - AMEXCID),CIENCIAS SOCIALES,MAESTRIAS EN: 1. POBLACION 2. CIENCIAS SOCIALES 3. GOBIERNO Y ASUNTOS PUBLICOS,México (Estados Unidos Mexicanos),09/19/2011 12:00:00 AM,El programa está dirigido a profesionales universitarios preferiblemente en ciencias sociales o humanidades.   REQUISITOS: El aspirante debe ser menor de 35 años- preferiblemente tener promedio de notas universitarias mínimo de 4-0/5-0 y presentar su equivalencia en la escala de 1 a 10- de lo contrario no será tenido en cuenta. Deben presentar constancia original de admisión definitiva (firmada por el Coordinador del Postgrado o Director de la FLACSO). Para solicitar admisión al doctorado se requiere contar con título de Maestría- preferiblemente en Ciencias Sociales o Humanidades.  No se aceptarán candidaturas de personas residentes en México o que hayan iniciado sus estudios en ese país.  Se dará prelación a candidatos que:  > Realicen estudios sobre temas prioritarios para el desarrollo de su país.  > Trabajen en áreas de particular importancia para el desarrollo institucional de su país.  > Estudien posgrados que no se imparten en su propio país.  > Lleven a cabo estudios o investigación en instituciones que se ubiquen en los estados de la República mexicana.  > Sean profesores o investigadores de instituciones públicas de educación superior y de centros de investigación científica de su país.  > Sean funcionarios públicos que tengan a su cargo áreas o programas de especial interés para su país.  > Trabajen en proyectos de desarrollo humano- de desarrollo social- de desarrollo económico- con grupos marginados o en zonas social o económicamente deprimidas.,Contribuir a la formación avanzada de latinoamericanos ofreciendo becas a través de la Secretaría de Relaciones Exteriores de México- para los programas señalados en esta convocatoria en la FLACSO> Sede México.
2250012.0,GOBIERNO DE LA INDIA,ADMINISTRACIÓN - INGENIERÍA Y AFINES,CERTIFICATE COURSE FOR PROFICIENCY IN BUSINESS AND LIFE SKILLS (INCLUDING INTERNET SKILLS),India (República de India),04/16/2012 12:00:00 AM,"El programa ""Certificado de dominio de comunicación de negocios- destreza y tecnologia de internet""- está dirigido a profesionales universitarios en administración- comunicaciones- ingeniería- que laboren en entidades públicas ó privadas- en áreas relacionadas con el tema del curso.  REQUISITOS:  El participante debe ser menor de 45 años de edad  tener un promedio de notas universitarias de 3-7/5-0  contar con un año de experiencia en el área del curso- gozar de buena salud física y mental. El candidato deberá tener buenos conocimientos de idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- y no haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente.   Los Preseleccionados deberán presentar entrevista en ICETEX y luego en la Embajada de la India- si la Embajada lo considera pertinente.",Brindar a los participantes la oportunidad de mejorar sus habilidades en comunicación de negocios- destreza y tecnología de internet.
6212416.0,REPÚBLICA DE COREA - KOICA,ADMINISTRACIÓN - ECONOMÍA,MASTER´S DEGREE PROGRAM IN ECONOMIC POLICY AND DEVELOPMENT,Corea del Sur (República de Corea),02/15/2016 12:00:00 AM,El programa está dirigido a profesionales que se desempeñen en áreas directamente relacionadas con políticas económicas y desarrollo- en entidades del sector público y deseen adelantar estudios de maestría en esta área. LOS EMPLEADOS DEL SECTOR PRIVADO NO SERÁN TENIDOS EN CUENTA. REQUISITOS: El candidato debe ser mayor de 23 años y menor de 40 años- tener un promedio mínimo de notas universitarias de 3-7/5-0 contar con mínimo 1 año de experiencia profesional en temas inherentes al programa a realizar. El candidato debe tener buenos conocimientos de idioma inglés puntaje requerido: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos). NOTA: El proceso de selección de candidatos es en dos etapas. la primera es la revisión y estudio de los documentos- y la segunda será una entrevista telefónica únicamente a quienes hayan pasado por la primera selección exitosamente. La admisión definitiva será notificada después de haber pasado la segunda etapa del proceso de selección. > El estado de embarazo es considerado como una condición de descalificación para participar en este programa.,> Desarrollar recursos humanos que contribuyan al desarrollo socio>económico de países en desarrollo. > Entrenar a funcionarios del gobierno en política económica y desarrollo para ser claves en sus respectivos países. > Compartir la experiencia de desarrollo coreana y entrenar expertos que puedan contribuir al desarrollo económico global. > Mejorar el entendimiento de las industrias coreanas y la administración corporativa.
6107415.0,GOBIERNO DE MÉXICO (SRE - AMEXCID),DIFERENTES AREAS,ESPECIALIZACIÓN MAESTRÍA DOCTORADO O INVESTIGACIÓN EN DIFERENTES ÁREAS (PROGRAMAS BILATERALES DE MÉXICO),México (Estados Unidos Mexicanos),07/31/2014 12:00:00 AM,El programa está dirigido a profesionales con título universitario o de maestría en un área afín al programa escogido de los ofrecidos por los centros docentes que comprende esta convocatoria.   REQUISITOS: El aspirante debe ser menor de 50 años- contar con un año de experiencia laboral- tener admisión definitiva ó en trámite al centro docente mexicano (dentro de los incluidos en esta convocatoria únicamente- para lo cual deberá consultar la página http://becas.sre.gob.mx). La admisión deberá ser en original y suscrita por el Coordinador o Director del Programa y poseer buenos promedios académicos universitarios (minimo 8 sobre 10 o su equivalente). Para quienes adelanten estudios de Maestría: deben presentar notas universitarias con promedio 4-0/5-0 y su equivalencia en la escala de 1 a 10. Para doctorado: deben presentar las notas de maestría con promedio 4-0/5-0 y su equivalencia en la escala de 1 a 10. Se requiere además cumplir con los requisitos específicos que se fijan para cada programa y centro docente.   Gozar de buena salud física y mental.,Brindar la oportunidad a profesionales colombianos de realizar estudios de postgrado en importantes centros docentes mexicanos.
6207515.0,UNIVERSIDAD DE ULSTER,DIFERENTES AREAS,MAESTRÍAS EN DIFERENTES ÁREAS EN LA UNIVERSIDAD DE ULSTER,Reino Unido (Reino Unido de Gran Bretaña e Irlanda del Norte),11/14/2014 12:00:00 AM,El programa está dirigido a profesionales en carreras directamente relacionadas con la Maestría que ofrece la Universidad de Ulster en International Business que cuenten con la admisión definitiva ó en trámite avanzado.   REQUISITOS: El aspirante debe ser mayor de 21 años- tener un promedio de notas de 3-7/5.0 en estudios universitarios- dominar el idioma inglés con prueba escrita- con puntaje mínimo: IELTS: 6.0 (No menos que 5.5 en cada banda) o alternativamente presentar una entrevista y examen online con el equipo de idiomas de la Universidad de Ulster. Los candidatos deben gozar de buena salud física y mental.,Brindar la oportunidad e inspirar  el talento académico Colombiano mediante estudios de maestrías en la Universidad de Ulster.
6800112.0,GOBIERNO DE LA REPÚBLICA POPULAR CHINA,POSGRADO DIFERENTES AREAS,MAESTRÍA EN DIFERENTES ÁREAS,China (República Popular de),,El programa está dirigido a profesionales en diferentes áreas- señaladas en el Directorio de Instituciones Chinas para estudiantes extranjeros- el cual puede consultar en la página web: www.csc.edu.cn.   REQUISITOS: El aspirante debe contar con un promedio mínimo de 3.7 en las notas universitarias y tener preferiblemente un año de experiencia laboral- ser menor de 35 años para maestrías y de 40 años para doctorado y poseer conocimientos del idioma inglés TOEFL CBT: 183 > 210 / IBT: 65 > 78 / IELTS: 5.5 > 6.0 / MET: B2- ya que a través de éste se aprenderá el idioma chino y en muchos casos será utilizado en los estudios.   NOTA: No se requiere estar admitido por la universidad ya que el Ministerio de Educación Chino es el encargado de asignar el centro docente. Tendrán un puntaje adicional aquellos candidatos egresados de universidades que hayan participado del programa de movilidad académica China- es decir- que hayan recibido estudiantes chinos para enseñar el idioma mandarín y cultura china.,Mediante el Convenio suscrito entre el Gobierno de la República Popular China y el Gobierno colombiano y el Plan de Trabajo Educativo para el año 2011>2014- se ofrece la oportunidad a profesionales colombianos de adelantar estudios de posgrado a nivel de maestría o doctorado en diferentes áreas- en universidades y centros de enseñanza superior de ese país.
2115614.0,INSTITUTO NAL. DE SALUD PUBLICA DE MEXICO,CIENCIAS DE LA SALUD ECONOMICAS Y SOCIALES,ESTANCIA DE INVESTIGACIÓN EN POLÍTICAS Y SISTEMAS DE SALUD - CÁTEDRA JUAN LUIS LONDOÑO,México (Estados Unidos Mexicanos),05/26/2014 12:00:00 AM,El programa está dirigido a profesionales en carreras relacionadas con los temas de la cátedra- que tengan interés en investigar en el sector de la salud en las áreas: jurídica- económica- financiera y formular políticas en materia de salud (ver en el contenido de esta convocatoria)  deben desempeñarse como funcionarios o docentes investigadores.   REQUISITOS: El aspirante debe contar con un promedio de notas universitarias de 3-7/5-0- tener experiencia laboral de un año en el campo de economía y salud. Deben gozar de buena salud física y mental.,Promover líneas de investigación que se realizan en Latinoamérica en materia de sistemas de salud- economía y salud- financiamiento de la salud y reformas de los sistemas de salud y protección social- a fin de impulsar la generación de nuevas ideas que contribuyan al desarrollo de este campo en el continente.
4200312.0,GOBIERNO DE JAPÓN - MINISTERIO EDUCACIÓN JAPONÉS,DIFERENTES AREAS,PREGRADO A NIVEL DE ENTRENAMIENTO TÉCNICO ESPECIAL EN JAPÓN,Japón (Japón),06/28/2011 12:00:00 AM,El programa está dirigido a bachilleres entre 17 y 21 años de edad (que hayan nacido entre el 2 de abril de 1990 y el 1o. de abril de 1995). REQUISITOS: Tener conocimientos de inglés (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 213 puntos- IELTS: 6.0- MET: B2) ó japonés. Tener excelentes resultados en el Examen ICFES (55 puntos como mínimo- en las áreas pertinentes de acuerdo con la carrera escogida- especialmente en matemáticas ) y en el colegio (Bueno>Sobresaliente>Excelente) (4- 4.5 y 5) (8- 9 y 10)- de acuerdo con los parámetros establecidos en cada Institución. Gozar de buena salud física y mental y tener la disposición para aprender el idioma japonés. No son elegibles candidatos que tengan simultáneamente la nacionalidad japonesa. Mayor información: www.colombia.emb>japan.go.jp,Ofrecer a estudiantes colombianos la oportunidad de realizar una carrera técnica en institutos técnicos japoneses (Professional Training College Students Senshu> Gakko).
5100915.0,OEA - TOP - ARGENTINA,ADMINISTRACIÓN,EVALUACIÓN INSTITUCIONAL DE ORGANIZACIONES PÚBLICAS,PLATAFORMA DE EDUCACIÓN A DISTANCIA TOP - OEA,,El programa está dirigido a profesionales universitarios y funcionarios de organismos públicos nacionales- subnacionales o municipales- miembros de ONG's que se desempeñen directamente en áreas relacionadas con el tema del curso. REQUISITOS: El candidato debe ser mayor de 22 años y menor de 65 años- tener promedio mínimo de notas universitarias de 3-7/5-0  contar con mínimo 1 año de experiencia profesional en el área del curso y gozar de buena salud física y mental.,Desde la perspectiva de ecuación entre racionalidad técnica y política- el curso apunta a:A) Proporcionar conocimientos y herramientas que faciliten la comprensión de los fenómenos organizativos.B) Desarrollar habilidades prácticas que ayuden a realizar diagnósticos y propuestas de mejora organizacional en los ámbitos de trabajo.
6112516.0,INSTITUTO EUROTECHNOLOGY EMPRESAS (EUROTEC),ADMINISTRACIÓN,MAESTRÍAS EN DIFERENTES ÁREAS,España (Reino de España),,El programa está dirigido a profesionales universitarios en diferentes áreas del conocimiento con los programas ofrecidos o que se desempeñen directamente en las áreas mencionadas en esta convocatoria. Los candidatos deben contar con la ADMISIÓN DEFINITIVA por parte de EUROTEC.  REQUISITOS: El candidato debe ser mayor de 23 años y menor de 65 años- tener un promedio mínimo de 4-0/5-0 y contar con mínimo 2 años de experiencia profesional en el área del programa a realizar.,Brindar a profesionales colombianos con aptitud y actitud para converger en la estructura económica empresarial real- local e internacional- (aprender haciendo- razonando situaciones de su día a día)- la oportunidad de realizar estudios de maestría en las áreas señaladas en esta convocatoria- con reducción de los costos de matrícula- en virtud del convenio suscrito con ICETEX.
2232516.0,GOBIERNO DE LA INDIA,DIFERENTES AREAS,PLANNING AND PROMOTION OF AGRO AND FOOD ENTERPRISES (PAFE),India (República de India),10/13/2015 12:00:00 AM,"El Programa está dirigido a profesionales en cualquier área que tengan como mínimo 3 años de experiencia profesional en funciones relacionadas con el curso- deben ser mayores de 25 años y menores de 45 años de edad. Tener un promedio de notas mínimo de 3-7/5-0. Poseer buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET B2) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. No haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente. Deben gozar de buena salud física y mental. Los Preseleccionados deberán presentar entrevista en la Embajada de la India si la Embajada lo considera pertinente. LOS ASPIRANTES DEBEN ENVIAR 3 PAQUETES DE DOCUMENTOS POR SEPARADO- EXACTAMENTE IGUALES Y CADA PAQUETE DEBE CONTENER LOS DOCUMENTOS EN EL ORDEN ESTABLECIDO EN LA PRESENTE CONVOCATORIA. LOS CANDIDATOS DEBEN DILIGENCIAR ABSOLUTAMENTE TODOS LOS ESPACIOS DE LOS FORMULARIOS SIN EXCEPCIÓN- NO ES ACEPTABLE EL ""N/A"" (No aplica) . LAS PERSONAS QUE NO DILIGENCIEN COMPLETAMENTE LOS FORMULARIOS QUEDARÁN EXCLUIDAS DEL PROCESO.",El objetivo del curso es brindar conocimientos de divgersas posibilidades industriales para la práctica de la agricultura y los recursos aliados- fortalecer las habilidades profesionales para formular y desarrollar proyectos agropecuarios y de producción de comida- también se busca que los participantes conozcan productos agro y de alimentación y los estándares de calidad internacionales para comercio y exportación y finalmente aprender de la experiencia india para ejecutar planes de acción para la estimulación del crecimiento de empresas agrícolas y de producción de almimentos.
2120315.0,OEA - GOBIERNO DE ESTADOS UNIDOS,CIENCIAS SOCIALES,CURSO EN LÍNEA SOBRE ENFOQUE DE DERECHOS Y DE IGUALDAD DE GÉNERO EN POLÍTICAS PROGRAMAS Y PROYECTOS,Estados Unidos (Estados Unidos de América),04/24/2015 12:00:00 AM,El programa está dirigido a profesionales universitarios en áreas relacionadas con el tema del curso- que se desempeñen actualmente como funcionarios públicos o privados- docentes universitarios- activistas sociales ò formadores en temas sobre género y derechos. REQUISITOS: Los participantes deben ser menores de 55 años- tener un promedio de notas universitarias de 3-7/5-0  contar con un año de experiencia profesional en la elaboración- implementación- evaluación de políticas- programas o proyectos en áreas pertinentes al curso  tener amplios conocimientos en procesador de textos- internet y correo electrónico. NOTA: Los postulantes deberán considerar el cumplimiento de los siguientes requerimientos tecnológicos A) Procesador Recomendado: 500 MHz Intel- Pentium II o superior. B) Sistema operativo: Windows C) Memoria: 64 Mb o superior D) Monitor de resolución mínima de 1024 x 768 E) Acceso a Internet: Modem de 56k o superior F) Aplicaciones: JavaScript debe estar funcionando- Cookies debe estar funcionando G) Navegadores: Internet Explorer 9 o superior.,Objetivo General: Contribuir a la construcción de sociedades más justas- capaces de generar relaciones de respeto- igualdad y cooperación entre los géneros- que afiancen una cultura de derechos humanos y de gobernabilidad democrática- y que no reproduzcan o validen estereotipos- prejuicios e inequidades. Objetivos Específicos: Fortalecer las capacidades de los participantes para aplicar un enfoque de género y de derechos al formular- implementar- monitorear y evaluar políticas- programas- proyectos e intervenciones diversas- considerando un marco de referencia concreto para detectar desigualdades de género y encaminar acciones para superarlas mediante la utilización de recursos conceptuales y metodológicos- tales como técnicas de diagnóstico e indicadores de género.
2222915.0,GOBIERNO DE LA INDIA,HUMANIDADES,CERTIFICATE OF PROFICIENCY IN GRAPHIC DESIGNING & ENGLISH COMMUNICATION,India (República de India),,"El Programa ""Certificado de aptitud en diseño grafico y conversación en inglés"" está dirigido a profesionales universitarios con experiencia mínima de un año en el tema del curso y que deban utilizar el idioma en sus actividades diarias principalmente. REQUISITOS: El aspirante debe ser mayor de 25 años y menor de 45 años de edad  tener un promedio de notas mínimo de 3-8/5-0  buenos conocimientos de idioma inglés- puntaje requerido: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o postgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. Los aspirantes no deben haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente. Deben gozar de buena salud física y mental. Los candidatos Preseleccionados serán llamados a entrevista ante el ICETEX y ante la Embajada de la India- si la Embajada lo considera pertinente.",ndar a los participantes la oportunidad de mejorar sus habilidades de comunicación en inglés.
2215311.0,GOBIERNO DE ISRAEL,HUMANIDADES,ESTRATEGIAS DE LOS MEDIOS DE COMUNICACIÓN PARA EL CAMBIO SOCIAL,Israel (Estado de Israel),,El programa está dirigido a profesionales universitarios en periodismo- presentadores en televisión sobre temas socio>económicos- funcionarios de relaciones públicas en entidades gubernamentales u ONGs y planificadores de las estrategias en los medios de comunicación.  REQUISITOS: Los aspirantes deben ser menores de 50 años- tener un promedio de notas universitarias de 3-8/5-0 contar con cinco años de experiencia (después de haber obtenido el título universitario) en temas relacionados con el programa a adelantar- poseer buenos conocimientos de idioma inglés con puntaje mínimo: English Test (MET): B2: 53 a 63 puntos- TOEFL: Prueba por Computador: 213 puntos- Prueba por Internet > IBT (superior a 60 puntos) ó IELTS: 6.5) y gozar de buena salud física y mental.,> Analizar el role de los medios de comunicación como herramienta para el cambio social.> Examinar la teoría de la comunicación y promoción al periodismo como herramienta para el cambio de opinión pública.> Realizar un análisis de los casos de estudio relevantes.> Explorar el uso de las técnica de la web 2.0 como soporte de bajo costo para la difusión- empoderamiento- la marca- movilización y el fomento de proyectos comunitarios de desarrollo- eventos y causas.> Familiarizarse con los distintos usos de los medios de comunicación en diferentes organizaciones en Israel.
2251712.0,GOBIERNO DE LA INDIA,ECONOMIA,PROGRAMA INTERNACIONAL EN BANCA Y FINANZAS:  ENFOCADO EN GESTIÓN DE RIESGOS,India (República de India),10/18/2011 12:00:00 AM,"El programa ""International programme in banking and finance:  focus risk management"" está dirigido a profesionales en carreras afines al curso- que se desempeñen como ejecutivos de nivel medio o directivos en entidades como: bancos centrales- bancos de desarrollo- corporaciones financieras- bancos comerciales e instituciones cooperativas y a funcionarios vinculados a actividades de planeación del desarrollo.   REQUISITOS: El aspirante debe contar con experiencia mínima de cinco años (posterior a la obtención del título universitario).  Debe ser menor de 50 años de edad  tener un promedio de notas mínimo de 3-8/5-0  buenos conocimientos de idioma inglés- puntaje requerido: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o postgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés.   Los aspirantes no deben haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente. Deben gozar de buena salud física y mental.   Los candidatos Preseleccionados serán llamados a entrevista ante el ICETEX y ante la Embajada de la India- si la Embajada lo considera pertinente.",Brindar a los participantes conocimientos y actualización en el campo del curso.
5200212.0,GOBIERNO DE INDONESIA,HUMANIDADES,ARTES E IDIOMA BAHASA - PROGRAMA DARMASISWA,Indonesia (República de Indonesia),02/27/2012 12:00:00 AM,El programa está dirigido a profesionales universitarios que no superen los 35 años de edad en el año 2012 y tengan nociones básicas en el campo para el cual aplican: el idioma indonesio (Bahasa)- música y danzas tradicionales folclóricas y artesanías de Indonesia.   REQUISITOS: El aspirante debe tener un promedio de notas universitarias de 3-5/5-0  experiencia profesional de un año- buenos conocimientos de idioma inglés: TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET: B2.  Deben gozar de buena salud física y mental.,El propósito principal del Programa DARMASISWA es fomentar y motivar el interés en el idioma y cultura de Indonesia entre los países amigos con el fin de facilitar los vínculos culturales.
